rfid	op_id	soc_socialrs_sa	soc_socialavgti	soc_social_num_ti_1_5	soc_social_num_ti_4_5	soc_social_num_ti_7_5	soc_social_num_ti_10_5	soc_social_num_ti_13_5	soc_social_num_ti_16_5	soc_socialti_sa	soc_midconrs_sa	soc_midconavgti	soc_midcon_num_ti_1_5	soc_midcon_num_ti_4_5	soc_midcon_num_ti_7_5	soc_midcon_num_ti_10_5	soc_midcon_num_ti_13_5	soc_midcon_num_ti_16_5	soc_midconti_sa	soc_opconrs_sa	soc_opconavgti	soc_opcon_num_ti_1_5	soc_opcon_num_ti_4_5	soc_opcon_num_ti_7_5	soc_opcon_num_ti_10_5	soc_opcon_num_ti_13_5	soc_opcon_num_ti_16_5	soc_opconti_sa	soc_totalrs_sa	soc_avgtotalti	soc_total_num_ti_1_5	soc_total_num_ti_4_5	soc_total_num_ti_7_5	soc_total_num_ti_10_5	soc_total_num_ti_13_5	soc_total_num_ti_16_5	soc_totalti_sa	rt_trials_sa	rt_meanrt_sa	rt_devmedrt_sa	rt_falsealarm_sa	rt_peropfalsealarm_sa	rt_pinit_sa	rt_peropinit_sa	loco_sheet_id	loco_saact	loco_sadis	loco_sarear	loco_sacent	lr_lt_act_sa	lr_lt_inact_sa	lr_lt_tot_sa	lr_px_pre_act_sa	lr_px_pre_inact_sa	lr_px_pre_tot_sa	dd_pcd600	dd_pcd1200	dd_pcd1800	dd_pcd2400
CC1DCD175F	R25	0.406367041	895.6774194	6	6	7	6	4	2	0.255523381	-0.556410256	558.4666667	7	4	7	5	4	3	-0.571070148	-0.47311828	533.047619	5	4	1	4	5	2	-0.473570354	-0.383647799	679.4390244	18	14	15	15	13	7	-0.330618032	-0.464705882	0.13967684	0.434274859	-0.75	0.59968254	-0.509259259	0.321190955	R01_R78	-0.552434457	-0.578465063	-0.75	-0.582534611	-0.347619048	-0.480769231	-0.314465409	-0.316666667	-0.357142857	-0.333333333	6.01	12.01	18.01	24.01
CC1DCD1761	R26	-0.612280702	783.2692308	7	4	5	2	4	4	0.41175621	-0.642857143	341.35	5	4	3	4	2	2	0.624848884	-0.62601626	385.2	3	4	4	3	5	1	-0.443674177	-0.619957537	528.7272727	15	12	12	9	11	7	0.386303683	-0.394444444	0.085738705	0.253658957	-0.666666667	-0.7449553	-0.540860215	-0.338876786	R01_R78	-0.494152047	-0.566582915	-0.723577236	-0.415169661	-0.414529915	-0.424242424	-0.387931034	-0.441666667	-0.576923077	-0.518115942	6.01	12.01	18.01	24.01
CC1DCD175E	R53	-0.487804878	661.625	4	6	8	4	6	4	-0.264247984	-0.480952381	271.037037	10	4	4	3	5	1	-0.546592317	-0.65	704.4333333	7	6	5	5	3	4	-0.373837037	-0.576666667	557.5617978	21	16	17	12	14	9	-0.282386117	-0.5	0.205035712	-0.405044474	-0.5	0.595241724	-0.653530378	-0.398375426	R01_R78	-0.448888889	-0.512515263	-0.725225225	-0.699805068	-0.6	-0.705882353	-0.634615385	-0.392857143	-0.602564103	-0.459349593	6.01	12.01	18.01	24.01
CC1DCD1782	R54	-0.200757576	2316.897436	11	7	4	5	6	6	0.306190301	-0.674242424	315.625	6	5	2	4	4	2	0.315270019	-0.358585859	242.8571429	8	9	5	5	5	3	-0.319891183	-0.346707819	1086.061224	25	21	11	14	15	12	0.24742268	-0.518987342	0.114534576	-0.450535909	-0.666666667	0.77420519	-0.43877551	0.327255675	R01_R78	-0.114864865	-0.427233429	-0.672619048	-0.640855457	-0.410852713	-0.41025641	-0.260606061	-0.441666667	-0.454022989	-0.341463415	6.01	12.01	18.01	24.01
CC1DCD178B	R55	-0.585227273	1117.24	6	7	5	2	4	1	-0.462389806	-0.385416667	554.8928571	4	7	2	2	7	6	0.463427269	-0.609848485	832.3076923	7	7	4	3		5	0.52823196	-0.520697168	824.1518987	17	21	11	7	11	12	0.289508719	-0.395299145	-0.094665954	-0.50608117	-0.5625	0.355956852	-0.511574074	-0.233368311	R01_R78	-0.264044944	-0.392303848	-0.570175439	-0.391403749	-0.416666667	-0.666666667	-0.481884058	-0.604166667	-0.602564103	-0.603448276	6.01	12.01	18.01	24.01
CC1DCD176F	R56	-0.428571429	1227.482759	11	6	6	2	2	2	-0.608832773	-0.561728395	321.5652174	6	5	6	2	2	2	-0.625215364	-0.571428571	786.5172414	8	7	3	4	1	5	-0.176693405	-0.527491409	812.3703704	25	18	16	8	5	9	-0.484124371	-0.197530864	0.10811058	-0.656458229	-0.520833333	-0.425121753	-0.148	0.104206994	R01_R78	-0.540816327	-0.591880342	-0.703125	-0.428322233	-0.53125	-0.614035088	-0.554726368	-0.590909091	-0.601449275	-0.596296296	6.01	12.01	18.01	24.01
CC1DCD179C	R57	-0.509259259	1139.111111	9	4	6	5	2	1	-0.441551367	-0.652542373	535.6111111	7	4	3	2	1	1	-0.557468099	-0.703125	716.8636364	7	7	3	2	2	1	-0.552290921	-0.490990991	838.3283582	23	15	12	9	5	3	-0.370878136	-0.405472637	0.092639159	-0.312869967	-0.566666667	0.582246816	-0.507490637	-0.246804132	R01_R78	-0.4082397	-0.484716157	-0.685185185	-0.64737096	-0.590277778	-0.598039216	-0.593495935	-0.547619048	-0.527777778	-0.510752688	6.01	12.01	18.01	24.01
CC1DCD1760	R58	-0.515625	976.8333333	10	5	4	2	1	2	-0.366309871	-0.5625	550.4117647	4	5	3	1	2	2	0.596820062	-0.488505747	755.05	6	5	3	2	2	2	-0.535982055	-0.523297491	785.2786885	20	15	10	5	5	6	-0.210476002	-0.306818182	0.127684781	0.287840904	-0.7	-0.619640063	-0.466666667	-0.355186025	R01_R78	-0.350490196	-0.580209895	-0.715686275	-0.480128205	-0.570707071	-0.588888889	-0.576388889	-0.606837607	-0.486111111	-0.542553191	6.01	12.01	18.01	24.01
CC1DCD1786	R59	-0.405228758	911.5172414	3	6	7	7	3	3	0.589636115	-0.419047619	405.5	8	5	6	3	3	3	-0.436637888	-0.607526882	653.7741935	5	5	4	4	6	7	0.24853541	-0.359068627	659.7159091	16	16	17	14	12	13	0.368624252	-0.346994536	-0.04788191	-0.379322247	-0.541666667	0.575430588	-0.531135531	-0.379211826	R01_R78	-0.343042071	-0.481853418	-0.619047619	-0.34375	0.253968254	0.41954023	0.311904762	-0.289473684	-0.447368421	-0.294117647	6.01	12.01	18.01	24.01
CC1DCD1783	R60	-0.395833333	670.5517241	7	6	4	4	5	3	-0.401145602	-0.73088685	810.25	2	3	5	1	4	1	-0.556877222	-0.58627451	1046	5	4	3	2	5		0.554134697	-0.552919708	816.9375	14	13	12	7	14	4	-0.435914034	-0.45035461	0.074763786	0.332338399	-0.566666667	-0.444898571	-0.501683502	-0.121241211	R01_R78	-0.485714286	-0.55687545	-0.66	-0.655637255	-0.26754386	-0.588888889	-0.276595745	-0.487179487	-0.62962963	-0.545454545	6.01	12.01	18.01	24.01
