rfid	coatcolor	cued_age	epm1_age	ext01_age	lga01_age	oft1_age	pr_age	prime_age	site	surgery_weight	tf1_age	lga_total_heroin_consumption	lga_total_heroin_consumption_bysex	lga_escalation_of_heroin_intake_12h	lga_escalation_of_heroin_intake_12h_bysex	lga_escalation_of_heroin_intake_1h	pr_breakpoints	pr_break_points_bysex	prime_active	prime_active_bysex	prime_extinction_before_priming_active	ext_burst	ext_burst_bysex	ext_day_6_active	ext_day_6_active_bysex	ext_de_escalation	cued_active	cued_active_bysex	epm_percent_open_1	epm_percent_open_2	epm_percent_closed_1	epm_percent_closed_2	oft_distance_1	oft_distance_2	oft_time_1	oft_time_2	tf_bl_1	tf_bl_2	tf_test_1	tf_test_2	fst_swim	fst_climb	fst_float	fst_dive	room_box
933000320188513	BROWNHOOD	115	70	109	83	70	104	108	us	183	70	7060	-0.482935651	700	0.437088846	100	4	-0.774796837	6	-0.438932869	6	14	0.126325359	10	0.039309005	7	16	-0.26477692	27.43333333	39.43333333	51.53333333	37.93333333	9467	4346	957.4	466.4	2.2	2.75	4.65	4.575	51	8	1	0	R_3
933000320188502	BLACKHOOD	115	70	109	83	70	104	108	us	270	70	9700	0.529588159	753.3333333	0.758797488	100	12	0.150417473	8	-0.004478101	8	12	0.061543889	22	1.421273856	14	12	-0.344901939	5.566666667	34.3	66.76666667	44.1	10692	9532	1110.9	918.7	2.275	1.975	7.25	5.175					R_1
933000320188505	ALBINO	115	70	109	83	70	104	108	us	288	70	3100	-0.757386908	200	-0.249810625	33.33333333	6	-0.407855692	4	-0.256246916	3	6	-0.332648615	4	-0.495930273	0	9	-0.514999776	6.2	0	68.46666667	54.13333333	7075	6378	993.6	817.2	3.125	3.45	7.9	7.325					R_1
933000320188521	BLACK	115	70	109	83	70	104	108	us	200	70	5500	-0.730163984	-26.66666667	-0.547466542	100	12	0.153034406	4	-0.622424319	3	8	-0.418947683	4	-0.571882616	-1	5	-0.885948261	10.13333333	36.2	54.76666667	38.33333333	9092	8008	910.4	687.8	1.925	2.15	4.025	4.45	38	6	16	0	R_3
933000320188519	ALBINO	115	70	109	83	70	104	108	us	152	70	8080	-0.321286357	433.3333333	0.075784117	120	20	1.080865649	3	-0.714170045	5	9	-0.328068843	5	-0.470017346	-5	5	-0.885948261	14.7	33.03333333	61.66666667	34.83333333	6222	4832	672	452.2	2.475	2.725	3.6	4.825	42	0	18	0	R_3
933000320188526	BLACKHOOD	115	70	109	83	70	104	108	us	315	70	5480	-0.293295899	0	-0.614367775	73.33333333	9	-0.128719109	2	-0.382131324	1	3	-0.529744867	14	0.569183132	10	4	-0.798496171	14.33333333	30.63333333	67.3	46.5	8975	4963	1079.4	558.2	2.075	2.075	9.25	5.975	52	4	4	0	R_1
933000320188545	BROWN	115	70	109	83	70	104	108	us	328	70	3100	-0.757386908	20	-0.57791206	26.66666667	4	-0.593946747	1	-0.445073528	0	4	-0.464046116	3	-0.602441614	1	3	-0.85519545	0	0	77.66666667	84.16666667	5903	5554	749.1	639.7	2.45	2.2	6.85	5.925	48	6	6	0	R_1
933000320188532	BLACK	115	71	109	83	71	104	108	us	179	71	5580	-0.717485608	-106.6666667	-0.655857961	-13.33333333	9	-0.19490231	0	-0.989407221	7	10	-0.237190003	5	-0.470017346	-1	2	-1.055358626	5.433333333	26.66666667	79.56666667	40.66666667	5211	4811	594.7	520.6	2.05	2.425	3.5	3.425	40	3	17	0	R_3
933000320188528	BROWNHOOD	115	71	109	83	71	104	108	us	178	71	4520	-0.88547409	-506.6666667	-1.197815055	-20	1	-1.122733553	3	-0.714170045	7	4	-0.782463045	5	-0.470017346	3	6	-0.829478139	25.53333333	42.76666667	55.06666667	22.3	5948	7996	688.4	754.4	2.725	2.4	4.125	5.1	44	8	8	0	R_3
933000320188530	BLACK	114	70	108	82	70	103	107	us	299	70	1300	-1.108380108	-113.3333333	-0.82095016	-26.66666667	2	-0.780037802	2	-0.382131324	3	0	-0.726841119	5	-0.389418933	4	7	-0.628398334	10.6	0.6	64.7	44.66666667	6561	8405	791.6	702.4	2.45	2.475	4.6	5.275	50	5	5	0	R_1
