rfid	dd_indiff_0	dd_indiff_2	dd_indiff_4	dd_indiff_8	dd_indiff_16	dd_indiff_24	dd_hyperbolic_k	dd_hyperbolic_lnk	dd_hyperbolic_b	dd_auc_trad	dd_auc_norm0	dd_quasi_h_k_beta	dd_quasi_h_s_delta	dd_expon_k
933000320045882	85.245225	109.1051542	95.45678278	52.84772278	26.42059875	14.07532533	0.06821634	-2.685071152	0.5683015	0.326271753	0.574117353	0.913520952	0.899890204	0.120994304
933000320045883	151.6374167	137.6747277	72.73074611	51.88860733	33.70295933	31.22897556	0.189247743	-1.664698315	1.010916111	0.375291759	0.37123927	0.982929905	0.896185051	0.11299666
933000320045884	103.3985478	158.0863989	97.044935	102.6677167	33.30602167	82.7606	0.022876078	-3.777663529	0.689323652	0.53450084	0.775398956	0.978600103	0.953020953	0.050308224
933000320045885	214.74388	169.8730583	127.46578	94.51764472	31.11302639	29.00134611	0.186665517	-1.678436943	1.431625867	0.519139667	0.362622441	1.351036447	0.903361785	0.065499088
933000320045886	157.0433583	132.5936444	127.9486506	71.72936694	52.67505389	39.435968	0.110217643	-2.205298298	1.046955722	0.504332529	0.481713331	1.01707572	0.934904462	0.065416104
933000320045887	84.50134333	83.17721389	65.12076639	59.78760667	51.57730139	28.72467433	0.054953629	-2.90126555	0.563342289	0.370128005	0.657021517	0.562464478	0.961067354	0.129483254
933000320045888	121.3280033	101.1257433	102.0056519	47.87596306	32.92855944	26.77321472	0.125802324	-2.073043461	0.808853356	0.357603766	0.44211199	0.821414827	0.920809545	0.114649814
933000320045889	162.9612833	57.35418	87.51722633	60.29155889	50.93531444	14.230125	0.323337399	-1.129058921	1.086408556	0.379548248	0.34936051	0.551430703	0.956778666	0.130445663
933000320045891	151.93256	53.16796333	38.33068633	28.15381292	30.76015944	15.81546633	0.715103413	-0.335328113	1.012883733	0.236535157	0.233526464	0.343218315	0.954083817	0.389903064
933000320045892	232.48862	106.0181958	182.4015917	75.58530417	31.05449967	17.17704083	0.245753713	-1.403425413	1.549924133	0.489551603	0.315855204	1.157984084	0.916352496	0.071542473
933000320045893	148.3045056	144.6726363	79.56170806	84.90591056	33.65135944	46.719985	0.121889486	-2.104640499	0.988696704	0.45607255	0.46128661	0.94594732	0.932003488	0.077652794
933000320045894	255.4254733	244.7330528	157.3254511	196.1749472	66.12967472	102.917685	0.082783394	-2.491527797	1.702836489	0.926284931	0.54396587	1.627162091	0.950623826	0.01477067
933000320045895	152.8471028	125.0293417	73.99865778	125.8163906	72.87078861	71.81268972	0.066758977	-2.706666507	1.018980685	0.62500477	0.613362725	0.774443272	0.979218369	0.041108729
933000320045896	176.1825	64.08023556	77.71053694	105.9649897	58.83190444	45.45709278	0.2276629	-1.479889252	1.17455	0.507152257	0.431784307	0.571320335	0.981024097	0.070055412
933000320045897	177.89915	154.8247639	127.3935	76.61454125	42.06816467	47.37472133	0.132330354	-2.022453803	1.185994333	0.51540573	0.434576891	1.159108657	0.923136534	0.062490811
933000320045898	128.2086578	54.96542639	73.41539833	43.98659633	33.09018556	17.31708333	0.287478544	-1.246607052	0.854724385	0.293415306	0.343286457	0.483631089	0.948802842	0.210616576
933000320045899	150.7590139	118.8865456	57.1779975	76.67341933	31.45434861	19.434285	0.210213271	-1.559632689	1.005060093	0.374855151	0.372967899	0.79752017	0.922937733	0.11704426
933000320045900	171.4993583	102.9387667	125.5423289	68.13644861	32.51495722	31.01640208	0.185748598	-1.683361143	1.143329056	0.429724399	0.37585365	0.905857606	0.929167865	0.085901536
933000320045901	223.0841889	88.62130333	91.20330556	107.8738844	35.84786833	55.48995833	0.328152878	-1.114275687	1.487227926	0.508311889	0.341784793	0.702052976	0.966848245	0.068370026
933000320045903	181.9598806	122.9462722	136.46464	61.16594611	35.95508367	24.842636	0.186186635	-1.681005692	1.21306587	0.442014788	0.364378224	1.077687493	0.912228485	0.08209586
933000320045907	202.5345833	146.7986722	140.1037372	99.25851	53.24526278	44.96659267	0.142824327	-1.946139885	1.350230556	0.588284076	0.435691574	1.139600198	0.937879173	0.051479177
933000320045910	119.2594903	102.6125028	65.476645	52.66852861	43.05779833	30.24390958	0.139785636	-1.967645199	0.795063269	0.361767674	0.455017467	0.660305951	0.943120919	0.131899947
933000320045911	147.5817056	134.5612667	114.94327	74.29781667	66.19643333	35.25155833	0.093819204	-2.366385706	0.983878037	0.521638514	0.530186155	0.966342447	0.942262849	0.063104411
933000320045912	145.96946	74.07269458	102.5894133	66.33998944	24.98579056	14.87838625	0.211559823	-1.553247467	0.973129733	0.349811915	0.359470997	0.71791673	0.92995972	0.12058335
933000320045915	234.4833472	166.5436608	133.7983111	98.78266667	75.86026933	51.27412694	0.169298652	-1.776090955	1.563222315	0.659344518	0.421785508	1.162937257	0.945665696	0.042279438
933000320045918	172.5203133	177.040825	108.1087944	61.95901833	22.69531767	14.69512633	0.169895768	-1.77257016	1.150135422	0.406395973	0.353346193	1.593530064	0.842500726	0.090346177
933000320045920	197.0292567	120.2438033	120.933475	81.11522611	41.99468	31.51257417	0.206676815	-1.576598985	1.313528378	0.485837884	0.369872393	0.972315924	0.932482491	0.073105251
933000320045921	181.2345708	130.7595394	102.3861258	61.13281778	34.16509958	21.10475611	0.223222067	-1.499588188	1.208230472	0.409569099	0.338982593	1.034939844	0.904008586	0.095694272
933000320045924	144.7407	117.5197508	131.2484333	62.70892333	50.382774	45.906835	0.099034823	-2.312283742	0.964938	0.482352382	0.499879144	0.924434102	0.941987598	0.06867995
933000320045925	213.3866222	170.625975	116.3180958	119.5631667	29.12884	15.12860556	0.180749206	-1.710644812	1.422577481	0.531810278	0.373835721	1.340951302	0.907204158	0.065172629
