rfid	locomotor_cage	locomotor_t1_age	locomotor_t2_age	locomotor_t1_total_distance	locomotor_t1_rest_time	locomotor_t1_rest_episode_count	locomotor_t1_movement_episode_count	locomotor_t1_vertical_activity_count	locomotor_t1_center_time_legacy	locomotor_t2_total_distance	locomotor_t2_rest_time	locomotor_t2_rest_episode_count	locomotor_t2_movement_episode_count	locomotor_t2_vertical_activity_count	locomotor_t2_center_time_legacy	locomotor_fecal_boli_box	locomotor_fecal_boli_1	locomotor_fecal_boli_2	locomotor_fecal_boli_change	locomotor_fecal_boli_age_1	locomotor_fecal_boli_age_2
933000320047685	2	71	72	3049.29	309.05	126	133	992	118.21	2902.89	406.69	168	176	795	62.81	19	0	0	0	71	72
933000320047686	2	77	78	463.29	632.25	144	141	725	31.05	439.54	598.53	176	176	604	18.34	41	7	7	0	77	78
933000320047688	4	76	77	3603.26	327.06	136	144	1651	137.6	2009.92	459.34	179	181	1049	85.04	44	1	7	6	76	77
933000320047689	1	70	71	4454.03	228.57	106	121	1897	176.45	2720.24	458.08	114	117	1182	42.84	17	2	0	-2	70	71
933000320047690	4	71	72	3676.09	331.5	131	140	1545	139.01	2859.44	426.52	161	164	1282	50.33	20	2	3	1	71	72
933000320047691	1	76	77	3568.41	342.94	134	140	1344	87.21	2139.55	437.84	157	166	1016	172.23	49	1	5	4	76	77
933000320047694	1	75	76	3073.5	283.11	127	138	1610	112.02	1618.89	434.82	171	178	1069	9.98	23	4	3	-1	75	76
933000320047695	2	71	72	3958.15	262.42	139	149	1702	218.22	2796.07	343.6	161	172	1353	80.95	17	1	0	-1	71	72
933000320047696	4	71	72	3063.41	344.09	142	151	1636	73.96	2736.01	411.68	144	149	1329	15.34	18	2	0	-2	71	72
933000320047698	1	74	75	2464.87	451.91	152	156	1358	81.07	2895.77	375.62	152	162	1210	192.87	37	0	0	0	74	75
933000320047701	2	82	83	2196.07	437.6	141	148	1074	65.14	2039.84	457.06	147	145	1014	163.37	33	9	7	-2	82	83
933000320047702	4	78	79	3636.69	414.92	140	146	1481	71.99	3895.63	365.43	128	134	1602	123.36	6	2	4	2	78	79
933000320047703	4	77	78	2131.73	432.06	153	158	1237	153.9	1558.1	490.64	180	184	1033	46.76	4	2	7	5	77	78
933000320047704	1	84	85	5643.99	241.71	115	125	1899	174.54	4062.52	383.4	144	149	1766	209.53	45	4	6	2	84	85
933000320047705	2	79	80	2459.03	329.63	134	140	1694	278.58	1775.44	394.12	148	155	1154	105.17	15	3	3	0	79	80
933000320047706	1	81	82	2674.38	349.58	141	150	1403	178.56	1892.32	409.47	144	148	1100	23.19	15	2	0	-2	81	82
