rfid	soc_totalti_max	soc_totalti_16_5	soc_totalti_13_5	soc_totalti_10_5	soc_totalti_7_5	soc_totalti_4_5	soc_totalti_1_5	soc_totalti	soc_totalrf	soc_totalrs_max	soc_totalrs_16_5	soc_totalrs_13_5	soc_totalrs_10_5	soc_totalrs_7_5	soc_totalrs_4_5	soc_totalrs_1_5	soc_totalrs	soc_opconti_max	soc_opconti_16_5	soc_opconti_13_5	soc_opconti_10_5	soc_opconti_7_5	soc_opconti_4_5	soc_opconti_1_5	soc_opconti	soc_opconrf	soc_opconrs_max	soc_opconrs_16_5	soc_opconrs_13_5	soc_opconrs_10_5	soc_opconrs_7_5	soc_opconrs_4_5	soc_opconrs_1_5	soc_opconrfq	soc_opconrs	soc_midconti_max	soc_midconti_16_5	soc_midconti_13_5	soc_midconti_10_5	soc_midconti_7_5	soc_midconti_4_5	soc_midconti_1_5	soc_midconti	soc_midconrf	soc_midconrs_max	soc_midconrs_16_5	soc_midconrs_13_5	soc_midconrs_10_5	soc_midconrs_7_5	soc_midconrs_4_5	soc_midconrs_1_5	soc_midconrfq	soc_midconrs	soc_socialti_max	soc_socialti_16_5	soc_socialti_13_5	soc_socialti_10_5	soc_socialti_7_5	soc_socialti_4_5	soc_socialti_1_5	soc_socialti	soc_socialrf	soc_socialrs_max	soc_socialrs_16_5	soc_socialrs_13_5	soc_socialrs_10_5	soc_socialrs_7_5	soc_socialrs_4_5	soc_socialrs_1_5	soc_socialrfq	soc_socialrs	soc_age	soc_box_id
0007D3D4F7	24587	14770	9512	24587	23417	12311	13080	97677	68	175	99	63	175	26	157	164	684	6149	3464	1180	6042	6149	3655	2999	23489	19	117	21	1	117	3	52	34	0.333333333	228	6875	3533	6875	4196	2219	3391	5517	25731	24	75	40	18	51	16	75	67	0.390350877	267	15049	7773	1457	14349	15049	5265	4564	48457	25	63	38	44	7	7	30	63	0.276315789	189	67	S1
0007D3D559	16206	11363	11607	16206	11243	12516	11849	74784	79	90	16	39	36	51	52	90	284	6032	4255	6009	6032	2474	2488	2172	24228	26	30	9	15	11	13	12	30	0.316901408	90	6980	3526		6980	456	2337	3907	17206	23	24	5	1	7	10	15	24	0.218309859	62	8313	3582	5598	3194	8313	6893	5770	33350	30	36	2	23	18	28	25	36	0.464788732	132	57	S4
0007D3D58B	11285	6280	6063	11285	7760	9907	6541	47836	72	110	31	34	28	33	45	110	281	2170	520	1036	180	1080	2170	1040	6026	21	37	16	14	2	5	13	37	0.309608541	87	5120		1140	5120	1829	487	2986	11562	23	28	0	6	3	12	12	28	0.217081851	61	7250	5760	3887	5985	4851	7250	2515	30248	28	45	15	14	23	16	20	45	0.473309609	133	61	S1
0007D3D5D0	12765	4583	9332	9879	9062	12765	6571	52192	76	143	13	18	65	39	80	143	358	2250		1158	1785	341	2250	2018	7552	18	32	0	2	19	4	7	32	0.17877095	64	2214	277	1047	2170	2214	1554	485	7747	24	32	1	4	8	7	9	32	0.170391061	61	8961	4306	7127	5924	6507	8961	4068	36893	34	79	12	12	38	28	64	79	0.650837989	233	58	S1
0007D3D629																																																																									
0007D3D758																																																																									
0007D3D7F0																																																																									
0007D3D9B1	15317	8278	10701	15317	12887	10284	6242	63709	86	88	42	16	46	71	57	88	320	4621	1870	2547	2979	1385	4621	1785	15187	28	28	11	5	8	28	15	21	0.275	88	4973	488	4973	2754	2907	2976	2313	16411	22	28	16	6	7	12	12	28	0.253125	81	9584	5920	3181	9584	6778	2153	2144	32111	36	39	15	5	31	31	30	39	0.471875	151	60	S3
0007D3DAA3	5690	12	1766	3581	5267	5690	5624	21940	57	93	3	19	9	32	64	93	220	1212	12	476	650	1199	863	1212	4412	21	21	1	1	3	18	13	21	0.259090909	57	2273			1036	2273	1014	1229	5552	15	22	0	0	2	2	21	22	0.213636364	47	3813		1290	1895	1795	3813	3183	11976	21	50	2	18	4	12	30	50	0.527272727	116	61	S3
0007D3DF8B	17541	5520	4644	3975	9729	17541	7751	49160	60	120	3	14	33	37	76	120	283	5166	21	84	894	5166	4554	1073	11792	22	26	1	2	7	7	15	26	0.204946996	58	4933	1604	1900	309	2247	4933	2289	13282	18	32	1	5	3	19	16	32	0.268551237	76	8054	3895	2660	2772	2316	8054	4389	24086	20	62	1	7	23	11	45	62	0.526501767	149	66	S1
