rfid	rig_group	box	cue_age	inta_01_age	inta_15_age	pr_01_age	pr_02_age	sha_01_age	sha_10_age	shock_03_age	shock_base_age	labanimalid	sha_acquisition	sha_01_rewards	sha_01_locomotion	sha_01_inactive	sha_10_rewards	sha_10_locomotion	sha_10_inactive	sha_tot_rewards	sha_tot_locomotion	inta_01_rewards	inta_01_locomotion	inta_01_inactive	inta_15_rewards	inta_15_locomotion	inta_15_inactive	inta_tot_rewards	inta_tot_locomotion	inta_loco_difference	inta_esc_olivier_avg	inta_esc	inta_01_rewards_z	inta_13_15_rewards_z	inta_index_esc	inta_variability	inta_rewards_13_15	pr_01_breakpoint	pr_01_active	pr_01_inactive	pr_02_breakpoint	pr_02_active	pr_02_inactive	pr_breakpoint_difference	pr_active_difference	shock_base_active	cue_active	cue_inactive	cue_locomotion	life_tot_rewards	water_term_active	ld_hidetime_baseline	ld_hidetime_post	ld_hidetime_difference
AA1DCD66EE	mork_1	2		107	127	106	128	92	105	134	132	P421	0	4	1301	1	8	2006	1	33	12396	2	1058	0	38	10282	2	453	123808	9224	23.33333333	36	-1.012960385	0.229823665	-0.226883172	10.7653766	36.33333333	4	8	1	95	560	46	91	552	29	58	37	2176		28	573.6	479.4	-94.2
AA1DCD66A4	oscar_1	6		107	127	106	128	92	105	134	132	P424	7	82	3075	281	1	2066	3	252	30175	31	17061	1	40	14791	3	356	164036	-2270	14.66666667	9	0.701349918	0.339867956	0.484591139	12.3745258	38.66666667	0	0	0	95	514	34	95	514	23	30	14	2981		38	710.93	534.5	-176.43
AA1DCD66C6	mork_1	1		107	127	106	128	92	105	134	132	P425	7	4	1383	1	11	3475	7	114	36883	7	3996	0	23	8392	0	216	97360	4396	9.333333333	16	-0.717389643	-0.446162691	0.621925191	5.63086731	22	20	78	14	20	92	11	0	14	12	51	23	2355		4	598.73	580.9	-17.83
AA1DCD66B4	mork_2	16		107	127	106	128	92	105	134	132	P426	4	3	1244	3	0	0	0	189	39286	42	6806	1	58	17864	8	627	184820	11058	8.666666667	16	1.35160555	0.937251248	0.693435483	4.708329571	51.33333333	62	350	14	178	981	106	116	631	34	57	18	2239		31	502.9	566.9	64
AA1DCD66E9	mork_3	11		107	127	106	128	92	105	134	132	P427	10	32	8376	9	37	11885	0	323	102832	38	16799	2	52	17857	5	669	259548	1058	1.333333333	14	1.115148957	0.717162666	0.643109301	5.225578118	46.66666667	40	175	21	95	534	34	55	359	30	35	6	3232		46	714.47	703.13	-11.34
AA1DCD66C2	mork_3	16	144	103	123	102	124	88	101	129	126	P428	7	9	5166	5	24	4124	12	161	63280	22	11185	12	16	7353	40	273	117836	-3832	-8.666666667	-6	0.169322583	-0.886339853	-5.234622812	5.752680535	12.66666667	40	210	31	32	157	31	-8	-53	7	37	19	1821	468		487.93	428.7	-59.23
AA1DCD6697	mork_3	14	144	103	123	102	124	88	101	129	126	P432	10	47	11638	7	36	10374	2	351	107198	3	5622	10	29	11147	1	432	193319	5525	12.33333333	26	-0.953846237	-0.021706142	0.022756437	7.377443098	31	20	90	26	32	147	23	12	57	22	42	14	2708	832		876.63	495.27	-381.36
AA1DCD670D	oscar_3	5	132	91	111	90	112	76	89	117	114	P433	2	14	2921	5	5	2925	3	56	25742	6	5006	17	15	5621	13	108	62706	615	11.33333333	9	-0.776503792	-0.697692498	0.898504947	5.9126982	16.66666667	15	56	55	1	1	4	-14	-55	13	34	38	1627	186		504.3	408.33	-95.97
AA1DCD66EF	oscar_1	8	144	103	123	102	124	88	101	129	126	P434	10	48	15886	0	42	13834	4	356	109591	33	2711	0	24	1681	0	443	211384	-1030	-4	-9	0.819578215	-0.273235949	-0.333386056	11.45929996	25.66666667	0	0	0	77	376	2	77	376	21	56	1	2938	858		459.8	875.83	416.03
AA1DCD66D9	mork_3	12	143	102	122	101	123	87	100	128	125	P436	10	72	1533	10	34	2694	2	408	30394	23	13067	1	36	11154	2	452	215152	-1913	6.666666667	13	0.228436731	0.104058762	0.455525525	3.159465496	33.66666667	77	428	8	118	702	42	41	274	37	29	19	1798	946		896.07	865.5	-30.57
AA1DCD66AC	oscar_3	6	143	102	122	101	123	87	100	128	125	P437	0	6	1416	1	3	1971	3	21	15791	4	2904	2	8	3538	2	89	42776	634	2.666666667	4	-0.894732088	-1.106428434	1.236603056	3.275498266	8	12	43	10	32	151	12	20	108	5	54	11	1327	139		689.1	597.63	-91.47
AA1DCD66A1	oscar_2	1	143	102	122	101	123	87	100	128	125	P438	7	1	1869	9	39	1357	0	383	20436	32	7698	0	59	8672	0	607	170242	974	10.33333333	27	0.760464066	0.670000828	0.88104206	7.517682858	45.66666667	0	0	0	62	319	1	62	319	0	11	0	823	1005		821.53	460.37	-361.16
AA1DCD66C7	mork_3	13	142	101	121	100	122	86	99	127	124	P441	0	1	1284	3	0	733	9	9	12777	3	2788	7	26	7765	0	299	108450	4977	21	23	-0.953846237	-0.257515336	0.269975732	7.945369022	26	1	1	0	32	152	10	31	151	22	54	12	1232	344		489	552.9	63.9
AA1DCD66C0	oscar_1	1	142	101	121	100	122	86	99	127	124	P443	8	6	2386	10	47	780	0	331	38161	8	4141	11	43	4942	0	682	117960	801	22.33333333	35	-0.658275495	0.622838989	-0.946167666	15.40504968	44.66666667	77	411	27	25	105	22	-52	-306	26	94	24	1798	1074		747	602.37	-144.63
AA1DCD6742	mork_3	11	132	91	111	90	112	76	89	117	114	P444	0	8	1465	1	4	1483	4	36	12170	4	1859	0	23	7516	5	126	45980	5657	18	19	-0.894732088	-0.461883304	0.516225259	7.543650752	21.66666667	1	2	1	32	138	4	31	136	17	56	16	1284	207		606.47	433	-173.47
