rfid	colorado_rat_number	femur_length_mm	maximum_force_n	yield_force_n	final_force_n	maximum_moment_nmm	yield_moment_nmm	final_moment_nmm	stiffness_n_mm2	x18_norm_stiffness_n_mm2	elastic_work_nmm	elastic_displacement_mm	post_yield_work_nmm	post_yield_displacement_mm	total_work_nmm	total_displacement_mm	iml_mm4	zml_mm3	cortical_thickness_mm	tissue_strength_m_pa	tissue_modulus_g_pa	correction_factor	corrected_modulus_g_pa	tt_ar_mm2	m_ar_mm2	ct_ms_mm2	ct_ar_mm2	ct_ar_tt_ar_percent	ps_pm_mm	ec_pm_mm	ps_pmest_mm	ec_pmest_mm	po_ar_mm2	ct_po_percent	ct_th_mm	j_mm4	imax_mm4	imin_mm4	zmax_mm3	zmin_mm3	dmax_mm	dmin_mm	ct_app_d_mg_ha_cm3	ct_tiss_d_mg_ha_cm3	ct_th_sd_mm	bv_tv_percent	tb_th_μm	tb_n_1_mm	tb_sp_μm	conn_d_number_mm3	app_d_mg_ha_cm3	tiss_d_mg_ha_cm3	tv_mm3	bv_mm3	smi	bs_mm2	bs_bv_mm2_mm3	bs_tv_mm2_mm3	bs_mv_mm2_mm3	da	tb_th_sd_μm	center	batchnumber	age
00077E9C45	2036	38.22	144.06	126.26	144.06	720.3	631.3	720.3	310.5284444	425.9649444	32.53833	0.529	51.844475	0.381	84.382805	0.91	3.26048	2.20158	0.68	327.1741204	11.57167227	0.296541757	39.02206691	9.43592	3.74346	5.69246	5.69211	0.603238476	10.96360896	6.810400517	10.88922714	6.85869563	0.00035	6.15E-05	638	11.79311	7.54379	4.24932	3.65546	2.92528	4.127409409	2.90523984	1305.257617	1320.494313	0.0665	0.0966	82	1.308	799.1	22.4647	203.1241128	982.254632	15.0236	1.4508	2.4753	46.1737	33.7869	3.073411166	3.401928858	1.5735	27.5	NY	Batch05	192
00077E9C31	2037	34.68	120.93	103.61	120.86	544.185	466.245	543.87	316.6090909	316.6090909	21.781595	0.45	100.5269	1.377	122.308495	1.827	2.55723	1.99537	0.666	272.7238557	15.0428411	0.397226297	37.86970105	7.58963	2.77513	4.8145	4.8145	0.634352399	9.714641671	5.668604651	9.765966588	5.905362993	0	0	622	7.61145	4.35097	3.26048	2.48224	2.20158	3.505680353	2.961945512	1346.73737	1362.498178	0.0513	0.2252	88.9	3.4733	285.3	55.0061	341.0405472	969.526188	12.3077	2.7719	1.3577	75.3319	27.6468	6.12071305	7.899903521	1.4349	26.6	NY	Batch05	189
00077E7AE4	2038	36.3	117.86	112.19	117.79	530.37	504.855	530.055	276.9606487	276.9606487	28.595075	0.54	58.266265	0.834	86.86134	1.374	3.17655	2.14076	0.59	247.7484632	10.59347998	0.274532063	38.58740532	7.65825	3.18492	4.47333	4.47333	0.584119087	9.969220246	6.307569539	9.810015686	6.326364287	0	0	547	7.7597	5.20247	2.55723	2.64684	1.99537	3.93108008	2.563163724	1325.885183	1343.555259	0.0713	0.0728	73.6	1.4762	710.4	17.391	160.7833182	973.644214	14.9503	1.0882	2.5278	37.7928	37.4971	2.527895761	2.726340165	1.4567	23.1	NY	Batch06	195
00077E99F3	2040	39.9	183.54	155.73	182.56	917.7	778.65	912.8	368.3977996	505.3467759	43.24719	0.589	55.44095	0.321	98.68814	0.91	6.83853	4.11948	0.704	222.7708352	6.545314951	0.226616787	28.88274538	11.76632	7.95659	3.80973	3.8094	0.323754581	10.45636409	7.746311578	12.15976718	9.999272912	0.00033	8.66E-05	417	8.1233	4.94675	3.17655	2.58497	2.14076	3.827317145	2.967684374	1251.0934	1272.1149	0.0376	0.1364	91	1.8777	535.8	24.6838	237.0416724	974.767312	19.8308	2.7052	1.9605	75.9339	28.9152	3.829089094	4.433941001	1.5116	27.7	NY	Batch04	194
00078A178C	2041	32.98	91.45	87.04	84.13	411.525	391.68	378.585	204.8884841	204.8884841	23.002975	0.53	48.15399	0.54	71.156965	1.07	4.45932	3.00706	0.458	136.8529394	5.58245446	0.222102322	25.13460648	8.73561	2.0324	6.70321	6.7032	0.767341949	12.19746861	8.000617411	10.47735238	5.053700786	1.00E-05	1.49E-06	661	17.59664	10.75811	6.83853	4.76906	4.11948	4.511627029	3.320093798	1308.364855	1322.17896	0.0526	0.0798	68.1	1.6724	609.6	21.8547	173.6943	907.985	16.1064	1.286	2.5708	47.4945	40.0529	2.948796752	3.204670589	1.7435	20.2	TN	Batch04	87
00077E9AFF	2042	37.55	195.01	168.35	194.3	877.545	757.575	874.35	414.3732465	414.3732465	43.71012	0.569	61.26613	0.33	104.97625	0.899	6.52416	3.88907	0.721	225.64392	7.716909065	0.223246043	34.56683473	9.30284	3.30172	6.00112	6.00094	0.645065378	11.06406319	6.528630978	10.81216607	6.441322627	0.00018	3.00E-05	679	11.8527	7.39339	4.45932	3.55769	3.00706	4.156286804	2.965900248	1305.55711	1320.569186	0.0765	0.182	102.4	1.5624	655.4	33.3245	239.4376148	996.854906	13.3685	2.4328	1.485	59.4484	24.9524	4.446901298	5.436176925	1.5572	29	NY	Batch06	201
00077E9A29	2043	39.02	182.13	137.82	165.3	910.65	689.1	826.5	381.3411551	523.1017217	32.833545	0.539	148.075785	0.87	180.90933	1.409	4.80829	3.12567	0.714	291.3455355	9.636055717	0.277538711	34.71968171	11.35279	4.73537	6.61742	6.61718	0.582868176	12.01131364	7.586947413	11.9441771	7.714040084	0.00024	3.63E-05	672	16.62984	10.10568	6.52416	4.46717	3.88907	4.524421502	3.355126033	1332.773518	1347.860468	0.0683	0.1976	89.6	2.7594	365.1	49.6088	292.5601502	981.131534	20.8834	4.1271	1.8026	117.7459	29.1645	5.63825335	7.026962993	1.5869	26.6	NY	Batch04	203
00077E9B73	2044	38.67	155.13	135.84	155.13	775.65	679.2	775.65	303.396115	416.1812277	40.340135	0.64	59.759325	0.4	100.09946	1.04	3.44918	2.4283	0.699	319.4209941	10.68735989	0.331453372	32.24393173	9.99514	3.97159	6.02355	6.02328	0.602620874	11.25951374	6.996300211	11.20725808	7.064592831	0.00027	4.48E-05	657	13.22617	8.41788	4.80829	3.94047	3.12567	4.272525866	3.076645967	1322.515889	1337.790022	0.0749	0.0861	79.6	1.2876	804	17.7729	177.6297882	971.023652	13.3912	1.1528	2.2737	35.9904	33.0447	2.687615748	2.940776572	1.4827	24.2	NY	Batch05	206
00077E7B63	2045	36.97	130.41	109.13	130.41	586.845	491.085	586.845	334.2346192	334.2346192	21.54813	0.4	28.807655	0.24	50.355785	0.64	4.60828	3.01003	0.654	194.9631731	8.812291405	0.26827342	32.84817187	8.02381	3.07964	4.94417	4.94417	0.616187322	10.04429679	6.047619048	10.04142272	6.220924176	0	0	612	8.43182	4.98263	3.44918	2.69869	2.4283	3.692628646	2.84081868	1338.389008	1355.98421	0.0698	0.1662	91.9	1.8918	540.9	36.0259	246.5505688	992.362514	14.0593	2.3362	1.6232	63.1528	27.6721	4.491887932	5.387039264	1.5707	27.1	NY	Batch04	195
00077E9A97	2046	39.46	146.37	134.79	146.37	731.85	673.95	731.85	312.7454352	429.0060839	37.11206	0.59	27.98939	0.2	65.10145	0.79	5.60282	3.45104	0.668	212.0665075	6.782043752	0.233659672	29.0253072	9.86644	4.10637	5.76007	5.75981	0.583777938	11.22721559	7.127592709	11.13487053	7.183464853	0.00026	4.51E-05	625	12.66724	8.05896	4.60828	3.75969	3.01003	4.287034303	3.061949549	1335.543826	1350.967705	0.0632	0.0936	79	1.6674	617.2	19.7982	206.8303362	989.741952	16.5924	1.5525	2.6448	50.8435	35.0286	3.064264362	3.380574339	1.4931	24.4	NY	Batch06	199
