rfid	lga_mean_12_14	lga_mean_inactive_12_14	lga_mean_to_12_14	lga_loading_phase_intake_12_14	lga_titration_phase_12_14	lga_iti_median_12_14
933000120124697	117.3333333	0	53.33333333	25	55	174
933000120138331	77.33333333	2.333333333	19.33333333	9	39	266
933000120138652	0.666666667	1.666666667	0.666666667	0	0	32
933000120138396						
933000120138722	95	0.5	7.666666667	5.666666667	19	120
933000320045978	0	0	0	0	0	
933000320046397	103.3333333	0	7	6	48	207
933000320047136	72.33333333	7	29	1	55	180.5
933000320047341	122.6666667	2	6	7	82	110
933000320047887	2.666666667	3.333333333	2.666666667	2	4	528.5
933000320187227	89	4.333333333	29.66666667	6	67	138.5
933000320186888	67.33333333	1	5.333333333	5	36	308
933000320048821	118	0.666666667	6.333333333	8	66	135
933000320049157	35.66666667	1.333333333	6	1	28	217
933000320188112	132	0	145.3333333	39	55	172
933000320188283	124	69	68.66666667	30	41	55
933000320188664	136	0	14.33333333		72	125
933000120124704	171.6666667	0	22	6	28	130
933000120138335	140.3333333	0.666666667	17	37	67	158
933000120138634	125.6666667	0.666666667	2.666666667	22	57	143
933000120138605	126.6666667	0	20.33333333	6	17.66666667	183.3333333
933000120138711	63	5	2.666666667	3	4	300
933000320045988	83.66666667	4	11.33333333	16	38	260.5
933000320045791	92.66666667	0.333333333	4	9	59	174
933000320047287	58.66666667	1.333333333	4.666666667	11	34	256
933000320047332	4.666666667	2.333333333	2.666666667	7	1	1028
933000320186805	3.333333333	2.333333333	0.666666667	5	1	1788
933000320187235	1	2.333333333	0.333333333	3	0	
933000320186881	16	0	0.333333333	0	16	446.5
933000320049034	84.33333333	17.33333333	6.333333333	11	40	225.5
933000320049155	84	0	6	5	50	206
933000320187912	2.666666667	8	0	2	2	2807
933000320188367	126.3333333	1.666666667	9.666666667	27	71	178.5
933000120117306	152	0	55	6.333333333	23	145
933000120138341	143.3333333	13.33333333	34.66666667	30	59	152
933000120138633	117.6666667	0	28.33333333	17	39	165
933000120138596						
933000120138715	108.5	0.5	25	3.333333333	10.33333333	233.3333333
933000320046382	111.3333333	0	12.66666667	23	47	187
933000320045799	71.66666667	1	31	7	23	137
933000320047290	3.666666667	4.333333333	0.333333333	3	2	1273.5
933000320047037	2	5.333333333	0.666666667	3	0	500
933000320047899	73.33333333	2.666666667	22.66666667	11	26	151
933000320186989	86.66666667	14	9.666666667	6	44	155
933000320187202						
933000320048778	105.6666667	3.333333333	4.333333333	19	42	200
933000320049132	87.33333333	0.333333333	0.666666667	5	44	238
933000320187911	90	0	17	16	45	240
933000320188358	114.6666667	0.333333333	2.333333333	17	35	187
933000320188668	104.6666667	0	29.66666667	11	46	201
933000120124703	148.6666667	1.666666667	6	23	65	140
933000120138338	112.3333333	0.333333333	36.66666667	28	51	190
933000120138637	51.33333333	6	34.66666667	0	13.66666667	300
933000120138680	171.6666667	44.33333333	11.66666667	10.66666667	27	140
933000120138754	29.33333333	0.666666667	5.333333333	0.666666667	1.333333333	300
933000320046377	148.3333333	31	78.33333333	38	52	127
933000320045785	87.33333333	1.666666667	7.333333333	11	46	212
933000320047132	8.666666667	4.666666667	0.333333333	7	7	194
933000320047045	67	4	28	4	46	255.5
933000320047884	143	1	15.66666667	32	59	140.5
933000320187163	98.33333333	2.333333333	7.333333333	12	42	220.5
933000320187204	2.666666667	1	0	2	1	1343
933000320049033						
933000320048995	44	1.333333333	1.333333333		52	192
933000320187729	91.66666667	9	5.333333333	17	41	238.5
933000320188551	92	155	15.66666667	1	61	161
933000120117312	117.6666667	0	3	1	18.66666667	200
933000120138343	110.3333333	0	35.66666667	22	50	204
933000120138650	150.6666667	3	93	12.66666667	21	166.6666667
933000120138672	131	0.666666667	5.666666667	0.666666667	22.33333333	150
933000120138743	71	0.333333333	1.666666667	2.666666667	11.33333333	300
933000320045794	136.3333333	3.333333333	18.33333333	18	61	152
933000320045788	13	0.333333333	0	0	14	582
933000320047281	124.3333333	1.666666667	7.666666667	19	63	174
933000320047040	113.3333333	0	7	19	54	191
933000320186839	101.3333333	2	7	22	51	215
933000320187089	125	2	7.666666667	25	52	163
933000320186894	0	0	0			
933000320048781	0	0	0			
933000320048968	46.66666667	0.666666667	0	7	38	277
933000320187932	94	3.333333333	9.333333333	16	46	171
933000320188762						
933000120117311	163	0.666666667	19.66666667	12.66666667	25.66666667	150
933000120138354	141.6666667	0.666666667	14.33333333	36	62	152
933000120138644	140.6666667	5	58.66666667	9.333333333	14.33333333	140
933000120138585	24.33333333	3	8	5.666666667	2	466.6666667
933000120138732	50.5	1555	4	3	7	400
933000320045793	59	0.666666667	0	1	29	316
933000320047477	118.6666667	1	14.66666667	25	55	184
933000320047150	46.33333333	3	4	6	18	232
933000320047340	108.3333333	1.333333333	12	19	48	207
933000320186840	33	7.333333333	26.33333333	3	25	187.5
933000320187156	42	1.333333333	1	0	50	182
933000320187222	0.666666667	1.666666667	0.333333333	1	0	
933000320049040	70.66666667	0.333333333	4		44	225
933000320048702	87.66666667	1.333333333	11.66666667	6	46	220.5
933000320188163	121	3	29	22	59	158.5
933000320188558	76	0.333333333	2.333333333	6	55	169
933000120117329	135	8.666666667	51	6	34	166.6666667
933000120138351	164.3333333	1	58	20	104	137
933000120138631	147.3333333	0.666666667	29.33333333	11.33333333	22.33333333	158.3333333
933000120138583	128.3333333	0.333333333	2.666666667	25	54	170
933000120138748	114.3333333	0	13.33333333	6.666666667	17	200
933000320045671	87	3	13.33333333	30	38	260
933000320047103	117.6666667	5	55	22	84	136
933000320047471	133.6666667	7.666666667	16	26	58	163
933000320047342	124.3333333	1.666666667	1.333333333	6	59	164
933000320186829	72.33333333	0	1.666666667	3	44	251.5
933000320187095	107.3333333	0.666666667	18	10	52	194
933000320048799						
933000320048712	23.66666667	1	0	6	21	530.5
933000320188265	109.3333333	1.666666667	7.666666667	9	52	201
933000320188754	77	6.666666667	14.33333333	10	38	153
933000120117323	6.333333333	0.666666667	1	1	1.333333333	500
933000120138316	95.66666667	0.333333333	3.333333333	17	52	197
933000120138654	114.6666667	0.333333333	32	7.333333333	16.33333333	200
933000120138584	119.3333333	8	1.333333333	4	22	175
933000120138454	131.6666667	0	14.66666667	9.333333333	17.33333333	200
933000320046608	18	21.66666667	4.333333333	4	16	219
933000320047470	4.333333333	10.33333333	1.333333333	1	2	2686
933000320047476	114	0.333333333	0.666666667	17	53	182
933000320047582	108	0	16	21	45	197
933000320047878	68.66666667	0	6.333333333	16	32	329
933000320187080	137.6666667	3.666666667	5.666666667	25	62	156
933000320048622	122.6666667	1.666666667	24.66666667	23	54	171
933000320048791	0	0	0			
933000320048975	106	0.666666667	15.66666667	27	46	211
933000320188152	101.3333333	0.333333333	27.66666667	23	48	219
933000320188769	126	2.333333333	20.33333333	19	59	158
933000120117313	102	6.666666667	17	4.666666667	16.33333333	200
933000120138306	110.3333333	0	24.66666667	11	53	188.5
933000120138632	161.6666667	0.666666667	63.33333333	8	22.33333333	145
933000120138601	0.333333333	2.333333333	0	0	0	600
933000120138707	139	0.333333333	5.666666667	8	20.66666667	150
933000320045740	79	26.66666667	27.33333333	15	39	208
933000320047475	123.3333333	11	50.66666667	18	62	68
933000320047462	75	9.666666667	0.666666667	5	38	251.5
933000320046815	79.66666667	0	9.666666667	10	36	276
933000320186780	18.33333333	9.666666667	2.666666667	2	8	169.5
933000320187151	54	0.666666667	4.666666667	5	27	391
933000320048607	134.3333333	1	1	21	57	160
933000320048784	132.3333333	0.333333333	2.333333333	20	61	164
933000320048965	121.3333333	0.333333333	20.66666667	14	62	183
933000320188159	103.6666667	0.666666667	17.66666667	14	40	201.5
933000320188611	105.3333333	0.666666667	6.666666667	21	48	209
933000120117342	37	12.66666667	0.666666667	1	41	265.5
933000120138293	97	25	5.333333333	14	45	211.5
933000120138388	24.33333333	0.666666667	14.33333333	5.333333333	1.333333333	266.6666667
933000120138665	134.6666667	0.333333333	16	8.333333333	21	158.3333333
933000120138447	154	21	297	5.666666667	11	140
933000320045736	74.66666667	4.333333333	5	8	41	265
933000320047312	153	0	13.66666667	34	62	138
933000320047275	31	7	5.333333333	1	32	298
933000320046801	127.3333333	5.333333333	49.66666667	15	59	149
933000320186779	71	0.333333333	2.333333333	8	38	206.5
933000320187078	21.33333333	3.333333333	2	2	13	363
933000320048615	129.3333333	3.666666667	3	15	64	166
933000320049150	116.6666667	3	11.33333333	37	59	83
933000320048959	99.33333333	0	11.33333333	3	48	200
933000320188172	25.33333333	1.666666667	6.333333333	5	4	353
933000320188746	95.66666667	0.333333333	11.66666667	20	46	230
933000120117333	133.3333333	0.666666667	3	16	63	159
933000120138285	147	1	3	30	68	150.5
933000120138649	130.3333333	3	37	2.333333333	21	150
933000120138669	89.66666667	290.3333333	1.666666667	5.666666667	14	300
933000120138440	135.3333333	21.66666667	27	4.666666667	15	145
933000320046086	103	0.333333333	26	0	49	133
933000320047254	0	0	0	0	0	
933000320047313	67.66666667	1.666666667	3.333333333	6	23	290
933000320047593	126	1.666666667	44.66666667	20	58	165
933000320047909	136.3333333	13.66666667	142	40	52	88.5
933000320186978	131	2	32	29	51	161
933000320048772	55.66666667	11	9.333333333	6	95	87.5
933000320049135	112	0	6.333333333	17	51	187
933000320049161	125	1.333333333	22	16	65	161.5
933000320188261	61.66666667	7	27.66666667	5	33	209.5
933000320188285	87.33333333	7.666666667	21.66666667	7	39	229
933000120117347	81	0.333333333	0.666666667	3	50	196
933000120138295	124	3	21.66666667	6.666666667	21.33333333	183.3333333
933000120138646	104.3333333	0	9.666666667	6	14.66666667	200
933000120138662	129.3333333	513.3333333	208.6666667	10.66666667	26.66666667	183.3333333
933000120138687	109	0.666666667	0	7	51	197.5
933000320046093	81.33333333	0	0.333333333	0	47	212
933000320047497	192	34.33333333	58.33333333	22	107	39
933000320047112	66.33333333	0.333333333	1.666666667	5	35	291
933000320047166	2	1.666666667	0.333333333	0	3	13568
933000320047859	33.66666667	845.6666667	11	1	23	290.5
933000320186980	97	3	10.66666667	16	43	224.5
933000320048769	154	0	57.66666667	12	71	132
933000320049138	134	0	1.666666667	22	61	161
933000320048994	117.6666667	4.666666667	8.333333333	11	58	174
933000320188158	97	4	5.333333333	16	45	225
933000320188487	99.66666667	1.333333333	2.666666667	6	58	173.5
933000120117349	152.3333333	0	5.333333333	17	77	137
933000120138287	169	0.333333333	334.3333333	15.33333333	24.33333333	150
933000120138575	111.6666667	0.333333333	8.666666667	6.333333333	18.33333333	200
933000120138661	126.6666667	0	6.333333333	6	19	175
933000120138504	11	11.66666667	3.666666667	1.666666667	0.333333333	425
933000320046393	117.3333333	6.333333333	9.333333333	15	57	182
933000320047490	70	2.333333333	1	5	40	223
933000320047321	96.33333333	1.333333333	18	18	47	235
933000320046812	95.66666667	0	1	4	44	207
933000320047871	69.33333333	5.666666667	15	17	28	50
933000320187320	119.6666667	0.666666667	9.666666667	20	53	168
933000320048616	106.6666667	4.666666667	6	30	46	204
933000320048790	74	0	1	11	33	296
933000320188110	77.66666667	0.666666667	22.66666667	5	43	228.5
933000320188173	2	0	0.666666667	3	1	13070
933000320188455	118.3333333	2	4	2	67	172.5
933000120117340	190.6666667	19.33333333	38.33333333	128	151	34
933000120138349	129	0.333333333	7.333333333	6.333333333	21.66666667	191.6666667
933000120138558	83.33333333	0	0.333333333	1	15	233.3333333
933000120138589	1.333333333	0.666666667	0.333333333	0	0.5	600
933000120138500	2	3.666666667	0.333333333	0.333333333	0.666666667	600
933000320046376	135	1	21	11	67	122
933000320046919	95.33333333	0	3	4	42	211
933000320047500	101.3333333	0	9.333333333	14	49	209
933000320047600	16	4	1.333333333	13	2	225
933000320047862	4	0.666666667	0.333333333	6	0	84
933000320186877	111.6666667	0.666666667	23	14	50	197.5
933000320048614	35	16.33333333	15	14	20	292.5
933000320049136	119.6666667	2.666666667	20.33333333	18	46	149
933000320187730	45.33333333	0	105.3333333	20	17	162
933000320188274	102.3333333	2	16.66666667	10	46	206
933000320188085	106.6666667	2.666666667	13.66666667		66	147
933000120117351	0	3.666666667	0	0	0	
933000120138347	136.3333333	2.333333333	15.33333333	4.666666667	21.66666667	166.6666667
933000120138645	85	0	1.333333333	1.666666667	19.33333333	200
933000120138629	9.666666667	2.666666667	1.333333333	2.666666667	0.666666667	400
933000120138700	2.333333333	0	0.333333333	0	0.333333333	500
933000320046127	57.33333333	2.333333333	9	14	15	248
933000320047108	40.33333333	0.666666667	16.66666667	5	18	446
933000320047464	75.33333333	1.333333333	4	15	41	216
933000320046814	100.6666667	0	0.333333333	18	50	219
933000320047667	6.666666667	5	0.666666667	6	4	365
933000320186898	136	0	4	18	40	168
933000320048350	114	1.666666667	13.33333333	7	56	172
933000320049166	116.6666667	0.666666667	6	19	54	183
933000320187943	0	3	0			
933000320187876	131.3333333	2.333333333	78	39	41	116
933000320188456	108.3333333	0.333333333	12	10	56	198
933000120117341	151.3333333	219.6666667	11.66666667	22	77	141
933000120138336	92	0	7.666666667	5.333333333	14	266.6666667
933000120138638	33.66666667	0.333333333	0.666666667	1.666666667	4.666666667	200
933000120138598	147.6666667	0	2.666666667	7.333333333	24.33333333	150
933000120138689	64	1.333333333	19	0.666666667	9	283.3333333
933000320046129	5	1	1.333333333	0	1	2646
933000320047129	148	1.666666667	9.666666667	26	65	144
933000320047260	89.66666667	2.333333333	6.333333333	11	47	228.5
933000320047581	24.33333333	9.333333333	6.333333333	10	17	176
933000320047864	74	5.333333333	13.66666667	1	40	245
933000320186895	130.6666667	3.333333333	11.33333333	35	46	151
933000320048342	143.6666667	58.66666667	66.66666667	8	91	60
933000320049145	26	2	11		15	104.5
933000320188118	148	2	122	7	27	57
933000320187895	111.3333333	0.666666667	24.66666667	22	50	198
933000320188741	63	151	17.66666667	3	41	121.5
933000120124705	38.66666667	12.66666667	6.666666667	2.666666667	6	400
933000120138280	82	0.333333333	22	3.333333333	14.33333333	233.3333333
933000120138655	149.6666667	21	8.666666667	7.333333333	23	150
933000120138603	0.333333333	2.666666667	0	0.333333333	0	600
933000120138696	60	0.333333333	3	6	31	225
933000320045653	134.3333333	5.333333333	22.66666667	23	61	151
933000320047126	10	14	11.66666667	3	4	2150
933000320047259	62.66666667	15	32.33333333	8	32	224
933000320046841	67.66666667	0.333333333	2.666666667	14	36	234
933000320047920	98	0	47.66666667	11	46	223
933000320187196	133	2.333333333	6	20	40	167
933000320048145	154	0.666666667	19	7	68	133
933000320048647	72.66666667	0.333333333	9.666666667	7	47	226
933000320187946	113	0	44.66666667	33	48	183.5
933000320187892	107	0.333333333	22	7	49	183.5
933000320188614						
933000120117352	92.33333333	0	5.666666667	2	24.33333333	166.6666667
933000120138344	104	0	8	5.333333333	17	200
933000120138636	64	1.666666667	8.666666667	2	17.66666667	233.3333333
933000120138657	64.66666667	11.66666667	9	3.666666667	7.333333333	200
933000120138698	27.66666667	27	3.666666667	5	16	266.5
933000320046078	97.66666667	8.666666667	4.333333333	21	43	211
933000320047111	110.3333333	1.333333333	6.666666667	23	49	193
933000320047595	72.66666667	1.666666667	3.666666667	2	34	239
933000320047171	97	1.333333333	1	6	43	221.5
933000320047912	81.66666667	0	7.666666667	11	27	276
933000320187205	98	3	4.333333333	7	42	204
933000320048764	117	19.33333333	7.333333333	7	55	170
933000320048630	110.6666667	0.666666667	8.666666667	16	58	191
933000320187910	118.3333333	1.333333333	4.666666667	1	56	157
933000320188252	94.66666667	15.66666667	51	8	44	220
933000320499941	0	0				
933000120117335	0	9	0	0	0	
933000120138334	106.3333333	0	5.666666667	6	15.66666667	200
933000120138394	109.6666667	0	14	2.666666667	22	200
933000120138670	120.6666667	19.66666667				
933000120138615	95.66666667	0.333333333	4	17	43	230
933000320046081	41	0.333333333	38.33333333	7	23	288.5
933000320047264	182	2.333333333	8.666666667	36	92	111
933000320047598	175	6.666666667	10.33333333	33	78	118
933000320047162	112.3333333	0	7.333333333	5	55	170.5
933000320047857	92	1.666666667	6.666666667	9	28	240
933000320187201	7.333333333	5	1.333333333	3	6	80
933000320048594	107.3333333	0.333333333	4	15	55	129
933000320049172	79.33333333	103.6666667	4.333333333	17	36	275
933000320187938	116	5.666666667	11	20	58	191
933000320188270	128	0	6	29	56	173
933000320188088	108.3333333	0.333333333	3.666666667	16	51	199
933000120117338	116.6666667	10.66666667	12.66666667	3	16.66666667	200
933000120138332	102.6666667	0	9	8.666666667	15.66666667	200
933000120138389	128.3333333	2	10.66666667	10.33333333	19	200
933000120138402	154.3333333	1				
933000120138609	3.666666667	0	1.333333333	1	1	3334.5
933000320045675	73	1.666666667	3	0	48	191
933000320047110	27	2.333333333	5.666666667	3	22	267.5
933000320046822	135.3333333	0.666666667	61	15	60	150
933000320046847	86.66666667	0	31.66666667	9	41	253
933000320047658	38.66666667	6.333333333	20.33333333	1	39	219
933000320187224	10.33333333	0	0.666666667	0	1	280.5
933000320048757	73.33333333	52.33333333	144	1	27	38
933000320049000	131.6666667	3	14	11	64	160
933000320187750						
933000320187890	3	2.333333333	0	3	3	478
933000320188749	92	0	2.333333333	19	43	246
933000320188446	62.66666667	4	8.333333333	7	4	50
933000120117344	110.6666667	0.666666667	14.33333333	7.666666667	18.66666667	200
933000120138342	98.33333333	0.333333333	1	5.333333333	14.33333333	233.3333333
933000120138557	122.6666667	9.333333333	5	7.333333333	18.66666667	183.3333333
933000120138671						
933000120138616	99.33333333	0.333333333	2.333333333	2	47	209
933000320045661	98.33333333	2	14	6	50	206
933000320046923	75	1.333333333	1.666666667	13	33	293.5
933000320046823	143	0.333333333	7	15	65	141
933000320047001	0	0	0	0	0	
933000320047888	72.33333333	1.333333333	2	1	40	238.5
933000320187322	97	1.333333333	1	9	48	215.5
933000320048126	98.33333333	8.333333333	5.333333333	10	59	188
933000320048716	17.33333333	2	3.666666667	5	12	548
933000320187920	77.5	2.5		13	15	207
933000320049182						
933000320188567	117.3333333	0	9.333333333	16	56	171
933000320188491						
933000120117332	149	0	18	5.333333333	21.33333333	161.6666667
933000120138346	157.6666667	0.666666667	215	1.333333333	20	143.3333333
933000120138573	58	0.333333333				
933000120138393						
933000120138627	2	0.333333333	0	4	0.333333333	3114
933000320045652	86	1	4.333333333	7	45	199
933000320046907	122.3333333	0	10	22	56	174
933000320047584	85.33333333	0.666666667	6	2	52	191
933000320046833	128.3333333	0	27	25	55	170
933000320047659	2	1.333333333	0	1	0	1047
933000320187215	77.66666667	5	17.66666667	13	45	201.5
933000320048582	58	0	34	13	28	391
933000320048964	114.3333333	0.666666667	57	18	52	195
933000320187933	95.33333333	6	25.66666667	9	50	176
933000320187900	115.3333333	1.666666667	17.33333333	25	51	191
933000320187983	85.66666667	6	13.66666667	8	53	203
933000320188308	113	0	9		58	177.5
933000120117339	124	1	15.33333333	3	22	150
933000120138339	79.66666667	0.333333333	4	1.666666667	16	200
933000120138577	107.6666667	0				
933000120138399	73	8				
933000120138415	87.66666667	0.333333333	0	0	40	239
933000320045667	88	1	21.66666667	27	38	232
933000320047286	109.3333333	0.333333333	23.33333333	13	42	187
933000320047583	47.66666667	8.333333333	102	1	51	73
933000320047019	108	0	1.666666667	12	51	204
933000320047947	102.6666667	0	2	16	52	214
933000320187183	105.3333333	0	12.33333333	7	49	208
933000320048539	143.6666667	0.666666667	36.33333333	16	61	139
933000320048953	8.666666667	5.666666667	1.333333333	6	7	1036
933000320188174	119	4.666666667	8	21	52	171.5
933000320187885	2	0.333333333	0			1271.5
933000320187996	86.33333333	0.333333333	5.333333333	6	53	208.5
933000120117350	45	0	6.333333333	2	7.333333333	375
933000120138348	82	7.666666667	11	4.333333333	9	300
933000120138569	75.66666667	12.33333333				
933000120138592	0	0				
933000120138420	110.3333333	0	22	1	54	184.5
933000320046143	85.66666667	10.33333333	21.66666667	6	48	107.5
933000320046904	137.6666667	6.333333333	239.6666667	38	51	119
933000320046818	129.3333333	3.333333333	33.66666667	26	59	168
933000320047172	86.33333333	0.333333333	31.66666667	8	40	242
933000320047889	80.66666667	0.333333333	2.333333333	17	37	277
933000320186952	64.33333333	0	3	1	39	184.5
933000320048223	69.66666667	3.333333333	17	14	31	258
933000320048952	109	5	21	11	49	200
933000320188171	157.6666667	8	30.66666667	35	36	49
933000320188115	29	3.333333333	2.333333333	1	23	130.5
933000320187992	2.333333333	0.666666667	0.333333333	4		2198.5
933000320188665						
933000120117331	9.333333333	12.33333333	1	0.666666667	3.666666667	450
933000120138333	138.6666667	0				
933000120138639	102	0				
933000120138599	145	0	6.666666667	8.666666667	22.66666667	150
933000120138414	0.666666667	1.333333333	0	0	0	
933000320046099	104.3333333	1.333333333	1.333333333	16	53	213
933000320047121	172	20	47	36	37	114.5
933000320047592	149	5.666666667	813.3333333	21	60	32
933000320047152	97.66666667	0.333333333	4.666666667	10	45	224
933000320047660	87.66666667	0.333333333	8.333333333	11	29	245
933000320186956	91.66666667	1	3.666666667	15	40	242
933000320048206	68.66666667	1.666666667	10		55	174
933000320048710	90.66666667	1.666666667	10.33333333	4	65	58
933000320188273	133.3333333	1.333333333	25.33333333	28	65	167
933000320188124	11.66666667	0	0	1	6	662
933000320187985	122.6666667	0.666666667	9.333333333	18	59	177
933000120117336	114.3333333	0	7.666666667	6.666666667	18.66666667	200
933000120138322	157	0.333333333				
933000120138384	112	0				
933000120138668	130.6666667	0	13.66666667	5.666666667	18	166.6666667
933000120138417	17.33333333	0.333333333	0.333333333	4	9	1013
933000320046088	3.666666667	6.333333333	0.666666667	2	2	8065
933000320047288	60.66666667	1	6.333333333	7	8	140
933000320047169	40.33333333	3.666666667	0.666666667	1	45	167.5
933000320046834						
933000320047928	43	5	22	4	32	365.5
933000320186987	22.66666667	1	1.666666667	11	6	332
933000320048336	88.33333333	0	17.33333333	15	39	247
933000320048970	121.3333333	0	32	11	57	163
933000320188153	120	0.333333333	7	27	52	178
933000320188097	1.333333333	8.333333333	0.333333333		4	22
933000320188566	35.33333333	0.333333333	0.666666667	2	38	316
933000320188476	120	0	10.33333333	26	53	179
933000120124696	4	0.666666667	0.333333333	2.666666667	0	458.3333333
933000120138321	154	1				
933000120138397	155	0.333333333				
933000120138667	0.333333333	1	0	0	0.333333333	600
933000120138427	85.33333333	0	0.333333333	15	39	258
933000320046141	0	0	0.333333333	0	0	
