rfid	locomotor2	progressiveratio	punishment	runstartmale1	runstartfemale1	runreversalsmale	runreversalsfemale	highcocaineavoid2	runstart1	runreversals	regressedlr_highcocaineavoid2	regressedlr_highcocaineavoidfemale2	regressedlr_highcocaineavoidmale2	regressedlr_locomotor2	regressedlr_progressiveratio	regressedlr_punishmenteffortratio	regressedlr_runreversals	regressedlr_runreversalsfemale	regressedlr_runreversalsmale	regressedlr_runstart1	regressedlr_runstartfemale1	regressedlr_runstartmale1	punishmenteffortratio	highcocaineavoidmale2	highcocaineavoidfemale2
933000120138507	17.86666667	48	1.755401235	75.97714286		0.571428571		0	75.97714286	0.571428571	-0.596153846		4.44E-16	0.19317683	-0.332172173	2.242581135	-1.711850164		-0.079947906	0.718546493		0.717028206	0.036570859	0	
933000120138511	18.2	101.25	0.585133745		108.7771429		2.142857143	1	108.7771429	2.142857143	0.607296137	0.455615235		0.244121621	1.155005047	-0.775200287	0.120552936	0.224973918		1.110275416	1.064903612		0.005779099		1
933000120138525	17.4	105	0.660240464		68.40714286		2.285714286	1	68.40714286	2.285714286	0.607296137	0.455615235		0.120618515	1.280100564	-0.620083435	0.230967629	0.32307779		0.595376958	0.636220139		0.006288004		1
933000120138513	15.03333333	28.5	0.468106996											-0.297145875	-1.453322476	1.057229623							0.016424807		
933000120138546	14.55172414	76.75	0.842592593	27.33142857		6.714285714		1	27.33142857	6.714285714	0.403846154		0.394871795	-0.419670619	0.627619235	-0.068049223	1.793091065		2.065163419	-0.780592985		-1.223756816	0.010978405	1	
933000120138519	17.16666667	51.75	0.374485597		35.33571429		0	0	35.33571429	0	-0.392703863	-0.441709163		0.075675649	-0.176612106	-0.353674186	-3	-1.860097862		-0.335236789	-0.244162848		0.007236437		0
933000120138522	15.03333333	78.75	0.584784411	55.71142857		18.85714286		1	55.71142857	18.85714286	0.403846154		0.394871795	-0.301600455	0.685896705	-0.959968897	2.760986642		0.238381692	0.362543922		0.213524052	0.007425834	1	
933000120138554	20.9	44	0.912808642		21.542		7.6	1	21.542	7.6	0.607296137	0.558290837		0.690834717	-0.551722518	1.548714879	0.562402856	1.958139238		-1.270975547	-1.101593072		0.020745651		1
933000120138532	18.93333333	56	0.725565844											0.389797244	-0.014515782	0.290666802							0.012956533		
933000120138548	10.7	111.25	1.169568823		82.45571429		2.571428571	1	82.45571429	2.571428571	0.607296137	0.558290837		-1.219644046	1.406241761	0.279724373	-2.774597731	0.651276045		0.790910813	0.786015102		0.010512978		1
933000120138459	21.73333333	36.75	0.471600332		48.13142857		3	1	48.13142857	3	0.607296137	0.650344825		1.367199132	-0.91491188	0.61741586	0.89499565	0.906203798		0.132659718	0.174873112		0.012832662		1
933000120138461	21.53333333	42.25	0.514917695		37.32714286		3.142857143	1	37.32714286	3.142857143	0.607296137	0.650344825		0.796215501	-0.656676602	0.531384335	0.950747592	0.97844633		-0.23673922	-0.175193671		0.012187401		1
933000120138478	21	86	0.514917695	66.17		4.142857143		1	66.17	4.142857143	0.403846154		0.394871795	0.715845726	0.86120546	-1.375324117	1.193268448		1.167656854	0.561567927		0.471095014	0.005987415	1	
933000120138480	16.86666667	35	0.397890947	54.96		6.166666667		1	54.96	6.166666667	0.403846154		0.394871795	0.026021286	-0.990642323	0.011667262	1.781179652		1.825209554	0.327789788		0.17658483	0.011368313	1	
933000120138476	17.56666667	42.5	0.547056385		41.17714286		1.571428571	0	41.17714286	1.571428571	-0.392703863	-0.349655175		0.15073549	-0.640782067	0.627360868	0.32999042	0.400573633		-0.074884763	0.008742953		0.012871915		0
933000120138462	33.3	51.5	0.444701646		51.05285714		1.142857143	0	51.05285714	1.142857143	-0.392703863	-0.349655175		2.212868102	-0.202632552	-0.062540023	0.028780264	0.078070794		0.229851605	0.277169745		0.008634983		0
933000120138468	21.2	38	1.638374486	48.65857143		5.857142857		1	48.65857143	5.857142857	0.403846154		0.394871795	0.737315993	-0.852174273	2.332591243	1.622249508		1.710392625	0.151999852		-0.065542211	0.043115118	1	
933000120138469	19.73333333	39.75	0.584784411	38.22857143		1.857142857		1	38.22857143	1.857142857	0.403846154		0.394871795	0.495533309	-0.748305459	0.557301411	0.446294076		0.114622503	-0.196070102		-0.458621165	0.014711558	1	
933000120138457	0	99.25	0.833333333		60.11714286		0.285714286	0	60.11714286	0.285714286	-0.392703863	-0.356736251		-3	1.118434473	-0.110415156	-0.88920106	-0.836805772		0.441210169	0.49579574		0.008396306		0
933000120138464	18	98.5	0.555555556		39.77285714		2	0	39.77285714	2	-0.392703863	-0.356736251		0.219570109	1.094159003	-0.816715964	0.519792217	0.575175811		-0.133466803	-0.039102089		0.005640158		0
